Codigo Perfil;Paisaje;Tipo de Relieve;Forma del Terreno;Taxonomia;Uso actual;Cultivos, pastos o especies forestales;UCS;Pantanos, Cienagas;Tipo UCS;Fases;Pendiente;"Erosion
(Grado)";"Remosion en masa
(area afectada %)";Drenaje natural;"Inundaciones/Encharcamientos
(Frecuencia)";"Inundaciones/Encharcamientos
(Duracion)";Profundidad efectiva (cm);Clases tamano particulas;Fragmentos roca (% por Vol.) ;Pedregosidad en superficie (%);Afloramientos rocosos (%);Fertilidad;"Salinidad
(% area afectada)";Sales y sodio;Relacion Ca/Mg;Saturacion Al (%);Distribucion de lluvias;Piso termico;Condicion de humedad;T° Heladas
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;gw;g;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Pluvial;No hay
N-46;Montana;Abanicos;Cuerpo;Acrudoxic Melanudands, medial, isotermica;Ganaderia;Pastos no manejados;MQE;NO;Consociacion;d;d;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Muy Humedo;No hay
N-44;Montana;Vallecito;Vega;Fluvaquentic Dystrudepts, franca-fina, isotermica;Agricultura;Cana panelera;MQG;NO;Complejo;a;a;No hay;No hay;Imperfecto;No hay;No hay;25 - 50;Franca-fina;3 - 15;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;1;Templado;Muy Humedo;No hay
N-44;Montana;Vallecito;Vega;Fluvaquentic Dystrudepts, franca-fina, isotermica;Agricultura;Cana panelera;MQG;NO;Complejo;at;a;No hay;No hay;Imperfecto;No hay;No hay;25 - 50;Franca-fina;3 - 15;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;2;Calido;Muy Humedo;No hay
N-44;Montana;Vallecito;Vega;Fluvaquentic Dystrudepts, franca-fina, isotermica;Agricultura;Cana panelera;MQG;NO;Complejo;aw;a;No hay;No hay;Imperfecto;No hay;No hay;25 - 50;Franca-fina;3 - 15;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;4;Templado;Pluvial;No hay
N-20;Montana;Vallecito;Vega;Typic Udifluvents, franca-gruesa, isotermica;Ganaderia;Pastos de corte;MQG;NO;Complejo;a;a;No hay;No hay;Bien drenado;No hay;No hay;75 - 100;Franca-gruesa;<3;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;1;Templado;Muy Humedo;No hay
N-20;Montana;Vallecito;Vega;Typic Udifluvents, franca-gruesa, isotermica;Ganaderia;Pastos de corte;MQG;NO;Complejo;at;a;No hay;No hay;Bien drenado;No hay;No hay;75 - 100;Franca-gruesa;<3;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;2;Calido;Muy Humedo;No hay
N-20;Montana;Vallecito;Vega;Typic Udifluvents, franca-gruesa, isotermica;Ganaderia;Pastos de corte;MQG;NO;Complejo;aw;a;No hay;No hay;Bien drenado;No hay;No hay;75 - 100;Franca-gruesa;<3;<0,1;<0,1;Media;No hay;No hay;"Estrecha <50cm; Invertida >50cm";0 - 30;4;Templado;Pluvial;No hay
NR-03;Montana;Vallecito;Vega;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQG;NO;Complejo;a;a;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-gruesa;15 - 35;<0,1;<0,1;Baja;No hay;No hay;Normal;30 - 60;1;Templado;Muy Humedo;No hay
NR-03;Montana;Vallecito;Vega;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQG;NO;Complejo;at;a;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-gruesa;15 - 35;<0,1;<0,1;Baja;No hay;No hay;Normal;30 - 60;2;Calido;Muy Humedo;No hay
NR-03;Montana;Vallecito;Vega;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQG;NO;Complejo;aw;a;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-gruesa;15 - 35;<0,1;<0,1;Baja;No hay;No hay;Normal;30 - 60;4;Templado;Pluvial;No hay
NR-28;Montana;Filas y Vigas;Ladera;Typic Dystrudepts, franca-fina, isohipertermica;Conservacion;Bosque primario;MUA;NO;Consociacion;e;e;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Baja;No hay;No hay;Invertida <50cm;60 - 90;1;Calido;Muy Humedo;No hay
NR-28;Montana;Filas y Vigas;Ladera;Typic Dystrudepts, franca-fina, isohipertermica;Conservacion;Bosque primario;MUA;NO;Consociacion;f;f;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Baja;No hay;No hay;Invertida <50cm;60 - 90;1;Calido;Muy Humedo;No hay
NR-28;Montana;Filas y Vigas;Ladera;Typic Dystrudepts, franca-fina, isohipertermica;Conservacion;Bosque primario;MUA;NO;Consociacion;g;g;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Baja;No hay;No hay;Invertida <50cm;60 - 90;1;Calido;Muy Humedo;No hay
